,[2021-01-22T14:25:58.048Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.835Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.837Z] %c action     color: #03A9F4; font-weight: bold {"type":"OAUTH_CONFIG_LIST_FETCH_SUCCESS","payload":[{"connectorName":"GitHub","oauth2Config":{"apiBaseUrl":"https://api.github.com","clientId":"22f524c7e7d61d3c1cec","authUrl":"https://github.com/login/oauth/authorize","redirectUrl":"https://console.choreo.dev/oauth2/cb/github","params":[{"key":"scope","value":"repo"}]}},{"connectorName":"Google Sheets","oauth2Config":{"apiBaseUrl":"https://sheets.googleapis.com","clientId":"1013555079220-6rff3fcm457fvpn3upfqqlja7jmphllk.apps.googleusercontent.com","authUrl":"https://accounts.google.com/o/oauth2/v2/auth","redirectUrl":"https://console.choreo.dev/oauth2/cb/googlesheets","params":[{"key":"response_type","value":"code"},{"key":"access_type","value":"offline"},{"key":"prompt","value":"consent"},{"key":"scope","value":"https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/drive.readonly openid email"}]}},{"connectorName":"Google Calendar","oauth2Config":{"apiBaseUrl":"https://www.googleapis.com/calendar/v3","clientId":"1013555079220-6rff3fcm457fvpn3upfqqlja7jmphllk.apps.googleusercontent.com","authUrl":"https://accounts.google.com/o/oauth2/v2/auth","redirectUrl":"https://console.choreo.dev/oauth2/cb/googlecalendar","params":[{"key":"response_type","value":"code"},{"key":"access_type","value":"offline"},{"key":"prompt","value":"consent"},{"key":"scope","value":"https://www.googleapis.com/auth/calendar openid email"}]}},{"connectorName":"Gmail","oauth2Config":{"apiBaseUrl":"https://gmail.googleapis.com","clientId":"1013555079220-6rff3fcm457fvpn3upfqqlja7jmphllk.apps.googleusercontent.com","authUrl":"https://accounts.google.com/o/oauth2/v2/auth","redirectUrl":"https://console.choreo.dev/oauth2/cb/gmail","params":[{"key":"response_type","value":"code"},{"key":"access_type","value":"offline"},{"key":"prompt","value":"consent"},{"key":"scope","value":"https://www.googleapis.com/auth/gmail.modify https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/gmail.compose openid email"}]}}]} 
,[2021-01-22T14:26:02.838Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:03.396Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:03.397Z] %c action     color: #03A9F4; font-weight: bold {"type":"GO_TO_PRODUCT_TOUR_NEXT_STEP","payload":"CREATE_WITH_CHOREO"} 
,[2021-01-22T14:26:03.397Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.283Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.283Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_CREATE_START"} 
,[2021-01-22T14:26:04.284Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.426Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.426Z] %c action     color: #03A9F4; font-weight: bold {"type":"CREATE_APP_PREFERENCE_IF_NOT_EXIST","payload":{"appId":"3328"}} 
,[2021-01-22T14:26:04.427Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.540Z] Added entry to ast cache : {"ast":{"imports":[],"members":[],"eofToken":{"kind":"EofToken","isToken":true,"value":""},"source":"","kind":"ModulePart","position":{"startLine":0,"startColumn":0,"endLine":0,"endColumn":0},"typeData":{"diagnostics":[]}},"code":""} 
,[2021-01-22T14:26:04.680Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.681Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_CREATE_SUCCESS","payload":{"id":"3328","name":"sampleapi-nhmq4","organizationId":"1114","org":"choreouser","displayName":"sampleapi-nhmq4","createdAt":"2021-01-22T14:26:04Z","observability":{}}} 
,[2021-01-22T14:26:04.682Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.791Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.792Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_FETCH_START","meta":{"id":"04d6f2f0-c208-4e20-9e81-c28561af584c"}} 
,[2021-01-22T14:26:04.792Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.794Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.795Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_FETCH_SYNTAX_TREE_START","meta":{"id":"544f0fe9-931d-486e-8e41-032d3fa0b246"}} 
,[2021-01-22T14:26:04.796Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.797Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.798Z] %c action     color: #03A9F4; font-weight: bold {"type":"TOGGLE_CODE_EDITOR","payload":false} 
,[2021-01-22T14:26:04.799Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.822Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:04.823Z] %c action     color: #03A9F4; font-weight: bold {"type":"GO_TO_PRODUCT_TOUR_NEXT_STEP","payload":"CREATE_APP"} 
,[2021-01-22T14:26:04.824Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.031Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.032Z] %c action     color: #03A9F4; font-weight: bold {"type":"CREATE_APP_PREFERENCE_IF_NOT_EXIST","payload":{"appId":"3328"}} 
,[2021-01-22T14:26:05.032Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.052Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.053Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_WAIT_ON_WORKSPACE_START"} 
,[2021-01-22T14:26:05.054Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.073Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.074Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_FETCH_SYNTAX_TREE_SUCCESS","payload":{"imports":[],"members":[],"eofToken":{"kind":"EofToken","isToken":true,"value":"","viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"","kind":"ModulePart","position":{"startLine":0,"startColumn":0,"endLine":0,"endColumn":0},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":1000,"rw":0,"lw":0,"h":1000,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"trigger":{"x":0,"y":0,"r":0,"w":113,"rw":0,"lw":0,"h":49,"rx":0,"ry":0,"cx":300,"cy":90,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"initPlus":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":114.5,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":false,"collapsedClicked":false,"initialPlus":false,"isLast":false,"isTriggerDropdown":false}}},"meta":{"id":"544f0fe9-931d-486e-8e41-032d3fa0b246"}} 
,[2021-01-22T14:26:05.076Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.084Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.085Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_FILE_FETCH_SUCCESS","payload":{"type":"File","content":"","size":0}} 
,[2021-01-22T14:26:05.085Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.228Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.229Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_FETCH_SUCCESS","payload":{"id":"3328","name":"sampleapi-nhmq4","organizationId":"1114","org":"choreouser","displayName":"sampleapi-nhmq4","createdAt":"2021-01-22T14:26:04Z","observability":{},"status":"stopped"},"meta":{"id":"04d6f2f0-c208-4e20-9e81-c28561af584c"}} 
,[2021-01-22T14:26:05.240Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.242Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.243Z] %c action     color: #03A9F4; font-weight: bold {"type":"SET_SIZE","payload":{"view":"home-lowcode","orientation":"vertical","appId":"3328","size":1845}} 
,[2021-01-22T14:26:05.244Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.247Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.247Z] %c action     color: #03A9F4; font-weight: bold {"type":"SET_SIZE","payload":{"view":"home","orientation":"vertical","appId":"3328","size":1845}} 
,[2021-01-22T14:26:05.248Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.250Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.251Z] %c action     color: #03A9F4; font-weight: bold {"type":"SET_SIZE","payload":{"view":"home","orientation":"horizontal","appId":"3328","size":1080}} 
,[2021-01-22T14:26:05.252Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.303Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:05.304Z] %c action     color: #03A9F4; font-weight: bold {"type":"SET_SIZE","payload":{"view":"home-lowcode","orientation":"vertical","appId":"3328","size":1845}} 
,[2021-01-22T14:26:05.304Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.377Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.380Z] %c action     color: #03A9F4; font-weight: bold {"type":"FETCH_RUNTIME_DATA_START"} 
,[2021-01-22T14:26:07.381Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.458Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.459Z] %c action     color: #03A9F4; font-weight: bold {"type":"FETCH_RUNTIME_DATA_SUCCESS","payload":{"test":{},"prod":{"status":"stopped"}}} 
,[2021-01-22T14:26:07.460Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.528Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.529Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_FILE_FETCH_START","meta":{"id":"bc9c2f29-5c10-4ae0-b717-3a581e61a691"}} 
,[2021-01-22T14:26:07.530Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.957Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:07.958Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_FILE_FETCH_SUCCESS","payload":{"type":"file","path":"/apps/choreouser/sampleapi-nhmq4/project/choreo.bal","size":"0","content":"","files":[]},"meta":{"id":"bc9c2f29-5c10-4ae0-b717-3a581e61a691"}} 
,[2021-01-22T14:26:07.958Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.035Z] LANG CLIENT ON OPEN :  {"isTrusted":true} 
,[2021-01-22T14:26:08.067Z] LANG CLIENT ON MESSAGE :  "{\"jsonrpc\":\"2.0\",\"id\":0,\"result\":{\"capabilities\":{\"textDocumentSync\":1,\"hoverProvider\":true,\"completionProvider\":{\"triggerCharacters\":[\":\",\".\",\"\\u003e\",\"@\"]},\"signatureHelpProvider\":{\"triggerCharacters\":[\"(\",\",\"]},\"definitionProvider\":true,\"implementationProvider\":false,\"referencesProvider\":false,\"documentSymbolProvider\":false,\"workspaceSymbolProvider\":false,\"codeActionProvider\":true,\"documentFormattingProvider\":true,\"documentRangeFormattingProvider\":true,\"renameProvider\":false,\"foldingRangeProvider\":true,\"executeCommandProvider\":{\"commands\":[\"MESSAGE\",\"CREATE_FUNC\",\"ADD_DOC\",\"PULL_MODULE\",\"ADD_ALL_DOC\",\"CREATE_TEST\"]},\"experimental\":{\"astProvider\":true,\"apiEditorProvider\":true,\"examplesProvider\":true}}}}" 
,[2021-01-22T14:26:08.444Z] LANG CLIENT ON MESSAGE :  "{\"jsonrpc\":\"2.0\",\"id\":1,\"result\":{\"syntaxTree\":{\"imports\":[],\"members\":[],\"eofToken\":{\"kind\":\"EofToken\",\"isToken\":true,\"value\":\"\",\"position\":{\"startLine\":0,\"startColumn\":0,\"endLine\":0,\"endColumn\":0}},\"source\":\"\",\"kind\":\"ModulePart\",\"position\":{\"startLine\":0,\"startColumn\":0,\"endLine\":0,\"endColumn\":0},\"typeData\":{\"diagnostics\":[]}},\"source\":\"\",\"parseSuccess\":true}}" 
,[2021-01-22T14:26:08.462Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.465Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_FETCH_SYNTAX_TREE_SUCCESS","payload":{"imports":[],"members":[],"eofToken":{"kind":"EofToken","isToken":true,"value":"","position":{"startLine":0,"startColumn":0,"endLine":0,"endColumn":0},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"","kind":"ModulePart","position":{"startLine":0,"startColumn":0,"endLine":0,"endColumn":0},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":1000,"rw":0,"lw":0,"h":1000,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"trigger":{"x":0,"y":0,"r":0,"w":113,"rw":0,"lw":0,"h":49,"rx":0,"ry":0,"cx":300,"cy":90,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"initPlus":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":114.5,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":false,"collapsedClicked":false,"initialPlus":false,"isLast":false,"isTriggerDropdown":false}}}} 
,[2021-01-22T14:26:08.467Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.487Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.489Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_FETCH_SUCCESS","payload":{"id":"3328","name":"sampleapi-nhmq4","organizationId":"1114","org":"choreouser","displayName":"sampleapi-nhmq4","gitRemote":"https://github.com/integration-apps/choreouser-sampleapi-nhmq4.git","workingFile":"/apps/choreouser/sampleapi-nhmq4/project/choreo.bal","createdAt":"2021-01-22T14:26:04Z","observability":{},"status":"stopped"}} 
,[2021-01-22T14:26:08.490Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.512Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.513Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_WAIT_ON_WORKSPACE_SUCCESS"} 
,[2021-01-22T14:26:08.514Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.517Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.518Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_CONNECTORS_LOADING_START"} 
,[2021-01-22T14:26:08.519Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.588Z] LANG CLIENT ON MESSAGE :  "{\"jsonrpc\":\"2.0\",\"id\":2,\"result\":{\"connectors\":[{\"org\":\"ballerina\",\"module\":\"http\",\"name\":\"Client\",\"version\":\"1.0.4\",\"displayName\":\"Http\",\"beta\":false,\"category\":\"generic-connectors\"},{\"org\":\"ballerina\",\"module\":\"email\",\"name\":\"SmtpClient\",\"version\":\"1.0.4\",\"displayName\":\"SMTP\",\"beta\":false,\"category\":\"generic-connectors\"},{\"org\":\"ballerina\",\"module\":\"email\",\"name\":\"PopClient\",\"version\":\"1.0.4\",\"displayName\":\"POP3\",\"beta\":true,\"category\":\"generic-connectors\"},{\"org\":\"ballerina\",\"module\":\"email\",\"name\":\"ImapClient\",\"version\":\"1.0.4\",\"displayName\":\"IMAP\",\"beta\":true,\"category\":\"generic-connectors\"},{\"org\":\"ballerinax\",\"module\":\"twilio\",\"name\":\"Client\",\"version\":\"0.99.3\",\"displayName\":\"Twilio\",\"beta\":true,\"category\":\"service-connectors\"},{\"org\":\"ballerinax\",\"module\":\"slack\",\"name\":\"Client\",\"version\":\"0.9.5\",\"displayName\":\"Slack\",\"beta\":true,\"category\":\"service-connectors\"},{\"org\":\"ballerinax\",\"module\":\"github\",\"name\":\"Client\",\"version\":\"0.99.8\",\"displayName\":\"GitHub\",\"beta\":true,\"category\":\"service-connectors\"},{\"org\":\"ballerinax\",\"module\":\"googleapis_gmail\",\"name\":\"Client\",\"version\":\"0.99.3\",\"displayName\":\"Gmail\",\"beta\":true,\"category\":\"service-connectors\"},{\"org\":\"ballerinax\",\"module\":\"googleapis_calendar\",\"name\":\"CalendarClient\",\"version\":\"0.1.1\",\"displayName\":\"Google Calendar\",\"beta\":true,\"category\":\"service-connectors\"},{\"org\":\"ballerinax\",\"module\":\"googleapis_sheets\",\"name\":\"Client\",\"version\":\"0.99.3\",\"displayName\":\"Google Sheets\",\"beta\":true,\"category\":\"service-connectors\"}]}}" 
,[2021-01-22T14:26:08.592Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.594Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_CONNECTORS_LOADING_SUCCESS","payload":[{"org":"ballerina","module":"http","name":"Client","version":"1.0.4","displayName":"Http","beta":false,"category":"generic-connectors"},{"org":"ballerina","module":"email","name":"SmtpClient","version":"1.0.4","displayName":"SMTP","beta":false,"category":"generic-connectors"},{"org":"ballerina","module":"email","name":"PopClient","version":"1.0.4","displayName":"POP3","beta":true,"category":"generic-connectors"},{"org":"ballerina","module":"email","name":"ImapClient","version":"1.0.4","displayName":"IMAP","beta":true,"category":"generic-connectors"},{"org":"ballerinax","module":"twilio","name":"Client","version":"0.99.3","displayName":"Twilio","beta":true,"category":"service-connectors"},{"org":"ballerinax","module":"github","name":"Client","version":"0.99.8","displayName":"GitHub","beta":true,"category":"service-connectors"},{"org":"ballerinax","module":"googleapis_gmail","name":"Client","version":"0.99.3","displayName":"Gmail","beta":true,"category":"service-connectors"},{"org":"ballerinax","module":"googleapis_calendar","name":"CalendarClient","version":"0.1.1","displayName":"Google Calendar","beta":true,"category":"service-connectors"},{"org":"ballerinax","module":"googleapis_sheets","name":"Client","version":"0.99.3","displayName":"Google Sheets","beta":true,"category":"service-connectors"}]} 
,[2021-01-22T14:26:08.595Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:08.620Z] Added entry to ast cache : {"ast":{"imports":[],"members":[],"eofToken":{"kind":"EofToken","isToken":true,"value":"","position":{"startLine":0,"startColumn":0,"endLine":0,"endColumn":0},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"","kind":"ModulePart","position":{"startLine":0,"startColumn":0,"endLine":0,"endColumn":0},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":1000,"rw":0,"lw":0,"h":1000,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"trigger":{"x":0,"y":0,"r":0,"w":113,"rw":0,"lw":0,"h":49,"rx":0,"ry":0,"cx":300,"cy":90,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"initPlus":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":114.5,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":false,"collapsedClicked":false,"initialPlus":false,"isLast":false,"isTriggerDropdown":false}}},"code":""} 
,[2021-01-22T14:26:21.991Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:21.991Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_PAN_LOCATION","payload":{"appId":"3328","panX":0,"panY":0}} 
,[2021-01-22T14:26:21.992Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:21.996Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:21.997Z] %c action     color: #03A9F4; font-weight: bold {"type":"GO_TO_PRODUCT_TOUR_NEXT_STEP","payload":"SELECT_TRIGGER"} 
,[2021-01-22T14:26:21.997Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:23.851Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:23.852Z] %c action     color: #03A9F4; font-weight: bold {"type":"GO_TO_PRODUCT_TOUR_NEXT_STEP","payload":"CONFIG_HTTP_PATH"} 
,[2021-01-22T14:26:23.853Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
